GPS Week,GPS TOW [s],Pos Mode,INS Mode,Hdg Mode,SVs Tracked,SVs Used,UTC Date,UTC Time,Lat [deg],Lon [deg],Alt Ellips [m],SOG [m/s],COG [deg],Hdg [deg],Horiz Vel [m/s],Vert Vel [m/s],Roll [deg],Pitch [deg],Yaw [deg],PDOP,HDOP,EHPE [m],EVPE [m],EHVE [m/s],EVVE [m/s],Baseline 2D [m],Baseline 3D [m],Corr. Age [s],Delta TOW [ms],2D Delta Pos [m],3D Delta Pos [m]
2111,414511.8,4,0,,,13,,,37.82866566,-122.2865161,-25.2194,0.04,157.62,,0.02,0.03,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.951,99587.019,1.8,100,0,0.029
2111,414511.9,4,0,,,13,,,37.82866564,-122.2865159,-25.245,0.03,41.987,,0.03,0.02,,,,1.5,0.8,0.07,0.18,0.07,0.16,99583.948,99587.016,0.9,100,0.012,0.028
2111,414512,4,0,,,13,,,37.82866568,-122.286516,-25.2691,0.04,267.274,,0.02,-0.03,,,,1.5,0.8,0.07,0.19,0.07,0.16,99583.952,99587.02,1,100,0.008,0.025
2111,414512.1,4,0,,,13,,,37.8286656,-122.2865159,-25.2137,0.03,141.34,,0.01,-0.03,,,,1.5,0.8,0.07,0.19,0.07,0.16,99583.944,99587.011,1.1,100,0.01,0.056
2111,414512.2,4,0,,,13,,,37.82866581,-122.286516,-25.289,0.02,0,,0.01,-0.02,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.966,99587.034,1.2,100,0.024,0.079
2111,414512.3,4,0,,,13,,,37.82866566,-122.2865161,-25.2701,0.01,243.435,,0.01,0,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.949,99587.017,1.3,100,0.019,0.027
2111,414512.4,4,0,,,13,,,37.82866564,-122.286516,-25.294,0.02,47.121,,0.02,0,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.948,99587.016,1.4,100,0.011,0.026
2111,414512.5,4,0,,,13,,,37.82866569,-122.286516,-25.2684,0.02,299.745,,0.01,0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.953,99587.021,1.5,100,0.007,0.026
2111,414512.6,4,0,,,13,,,37.82866567,-122.286516,-25.2753,0.04,183.576,,0.03,-0.03,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.951,99587.019,1.6,100,0.002,0.007
2111,414512.7,4,0,,,13,,,37.82866566,-122.2865161,-25.2499,0.01,288.435,,0,0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.95,99587.018,1.7,100,0.003,0.026
2111,414512.8,4,0,,,13,,,37.82866572,-122.2865161,-25.256,0.03,317.291,,0.02,-0.03,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.957,99587.025,1.8,100,0.009,0.011
2111,414512.9,4,0,,,13,,,37.82866564,-122.286516,-25.2496,0.03,180,,0.01,0.03,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.948,99587.016,1.9,100,0.012,0.013
2111,414513,4,0,,,13,,,37.82866563,-122.286516,-25.2468,0.02,28.301,,0.01,-0.01,,,,1.5,0.8,0.09,0.21,0.07,0.16,99583.947,99587.015,2,100,0.001,0.003
2111,414513.1,4,0,,,13,,,37.82866568,-122.2865161,-25.2443,0.04,164.745,,0.01,-0.04,,,,1.5,0.8,0.09,0.21,0.07,0.16,99583.952,99587.02,2.1,100,0.006,0.006
2111,414513.2,4,0,,,13,,,37.82866553,-122.2865159,-25.2159,0.03,228.366,,0.01,0.03,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.936,99587.004,1.2,100,0.023,0.036
2111,414513.3,4,0,,,13,,,37.82866563,-122.286516,-25.2578,0.02,69.444,,0.02,0.01,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.947,99587.015,1.3,100,0.015,0.045
2111,414513.4,4,0,,,13,,,37.82866564,-122.2865161,-25.2381,0.02,29.358,,0.02,-0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.948,99587.016,1.4,100,0.005,0.02
2111,414513.5,4,0,,,13,,,37.82866567,-122.2865159,-25.2283,0.02,189.462,,0.01,0.02,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.951,99587.019,1.5,100,0.011,0.015
2111,414513.6,4,0,,,13,,,37.82866561,-122.2865159,-25.226,0.03,116.565,,0,-0.03,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.944,99587.012,1.6,100,0.007,0.007
2111,414513.7,4,0,,,13,,,37.82866555,-122.2865161,-25.2336,0.04,284.036,,0.01,0.04,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.938,99587.006,1.7,100,0.013,0.015
2111,414513.8,4,0,,,13,,,37.82866573,-122.2865159,-25.2444,0.02,23.199,,0.02,-0.01,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.958,99587.026,1.8,100,0.027,0.029
